10.0,image,,,,,,2021,,../assets/images/image0.png,TRUE,
1.1,La zone 1 sur la carte en illustration correspond à,a,un anticyclone.,un col.,un profond thalweg.,une dépression,2021,MÉTÉOROLOGIE ET AÉROLOGIE,non,,
1.2,Dans le secteur de la zone 2 sur la carte en illustration on peut dire que,c,le gradient horizontal de pression est faible,les vents sont du Nord-Est.,les vents sont du Sud-Ouest modérés à forts,les nuages sont absents.,2021,MÉTÉOROLOGIE ET AÉROLOGIE,non,,
1.3,Dans le secteur de la zone 3 sur la carte en illustration correspond à :,c,Une traine de Sud-Ouest,Les viennent du Nord-Est,Un secteur chaud,Un secteur occlus.,2021,MÉTÉOROLOGIE ET AÉROLOGIE,non,,
1.4,On peut dire que la zone 4 est :,d,Très certainement nuageuse,Une zone de vent fort,Une dorsale,L’anticyclone des Açores,2021,MÉTÉOROLOGIE ET AÉROLOGIE,non,,
1.5,"Sur une carte de pression, une ligne qui joint les points d'égale pression est nommée",d,Une isotherme,Une isocline,Une isophyse,Une isobare,2021,MÉTÉOROLOGIE ET AÉROLOGIE,,Il s'agit effectivement d'une isobare.,C'était une isobare. 
1.6,"Dans un message aéronotique, le groue de température indique +12°C sous abri, et 4°C de point de rosée. On peut dire que",c,La masse d'air  est à 100% d'humidité,La température maximle sera de +12°C et la minimale de +4°C.,La masse d'air serait saturée pour une température sous-abri de +4°C.,La masse d'air serait saturée pour une température de +8°C,2021,MÉTÉOROLOGIE ET AÉROLOGIE,non,,
1.7,Une information sur une carte stipule l'ISO 0°C au FL80. Vous devez voler au FL60. En considérant le gradient standard quelle est la bonne affirmation,a,Le vol se fera en condition à +4°C,Le vol se fera en condition à -4°C,Le vol se fera en condition à -2°C,Le vol se fera en condition à +2°C,2021,MÉTÉOROLOGIE ET AÉROLOGIE,non,,"Si au FL80 (8000 pieds), il fait 0°C, il FL60 il fera +4°C car nous perdons 2°C tout les 1000 pieds"
1.8,Concernant la pression atmosphérique,d,Elle est à l'origine du vent dans l'Atmosphère Standard Internationale,Elle varie plus rapidement en altitude que proche de la surface.,La valeur est de 1013hPa partout sur la planète,Elle diminue rapidement avec l'altitude dans les basses couches de l'atmosphère.,2021,MÉTÉOROLOGIE ET AÉROLOGIE,non,,
1.9,Un altimètre,c,Affiche la vitesse d'un aéronef.,Affiche la vitesse asciensionelle d'un aéronef,est un baromètre qui transforme la pression en altitude,indique la hauteur par rapport à Paris.,2021,MÉTÉOROLOGIE ET AÉROLOGIE,non,,Loupé ! Un altimètre l'altitude grace à la pression en altitude.
1.10,"Pour un anticyclone dans l'hémisphère Sud, les vents s'organisent autour de lui de telle sorte :",a,Qu'ils tournent au sens inverse des aiguilles d'une montre.,Qu'ils soufflent de façon concentrique vers le centre de l'anticyclone.,Qu'ils tournent dans le sens des aiguille d'une montre,Qu'ils se dirigent vers le pôle sud,2021,MÉTÉOROLOGIE ET AÉROLOGIE,non,,Et non ! Le vent tourne dans le sens anti horaire autour d'une depression.
1.11,Une traine :,d,est la partie sous le vent d’un cumulonimbus.,correspond à une précipitation qui n’atteint pas le sol.,est le nom donné aux perturbations qui avancent lentement,est une zone de bonne visibilité entrecoupée d’averses à l’arrière d’un front froid.,2021,MÉTÉOROLOGIE ET AÉROLOGIE,non,,
10.1,image,,,,,,2021,MÉTÉOROLOGIE ET AÉROLOGIE,../assets/images/image3.png,FALSE,
1.12,Le nuage figurant sur la photo ci-dessus est un :,b,cumulonimbus.,cumulus.,stratus,altocumulus.,2021,MÉTÉOROLOGIE ET AÉROLOGIE,non,,"Loupé, on peux reconnaitre "